Place;Date;Page;Sector;Country Code;Year;Latitude;Longitude;Country;Region;Region District
Hradišťko (Nymburk);;9;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hradišťko (Praha-západ);1994-01-01;18;B;CZ;1994;#N/A;#N/A;#N/A;#N/A;#N/A
Hrádok;2026-08-23;37;D;SK;2026;48,6980698;17,8820601;Slovensko;Trenčiansky kraj;okres Nové Mesto nad Váhom
Hrachovište;2005-01-01;37;D;SK;2005;48,7163071;17,72926;Slovensko;Trenčiansky kraj;okres Nové Mesto nad Váhom
Hrachovo;2019-06-22;40;D;SK;2019;48,4652408;19,9509154;Slovensko;Banskobystrický kraj;okres Rimavská Sobota
Hraň;2026-05-31;43;D;SK;2026;48,5437485;21,7855255;Slovensko;Košický kraj;okres Trebišov
Hranice (Cheb);;5;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hranice (Přerov);1994-01-01;23;B;CZ;1994;#N/A;#N/A;#N/A;#N/A;#N/A
Hraničné;1994-01-01;27;D;SK;1994;49,3752392;20,6989664;Slovensko;Prešovský kraj;okres Stará Ľubovňa
Hranovnica;1994-01-01;41;A;SK;1994;48,9877666;20,3093442;Slovensko;Prešovský kraj;okres Poprad
Hrazany;;18;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hrboltová;1994-01-01;39;B;SK;1994;49,1039725;19,2459012;Slovensko;Žilinský kraj;okres Ružomberok
Hrdějovice;2018-11-01;32;B;CZ;2018;#N/A;#N/A;#N/A;#N/A;#N/A
Hrdlořezy;;9;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hrdlovka;;7;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hrejkovice;;18;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hrhov;1994-01-01;42;C;SK;1994;48,6067917;20,750338;Slovensko;Košický kraj;okres Rožňava
Hriňová;1994-01-01;40;C;SK;1994;48,5764603;19,525865;Slovensko;Banskobystrický kraj;okres Detva
Hrkovce;1994-01-01;49;A;SK;1994;48,0883059;18,9022803;Slovensko;Nitriansky kraj;okres Levice
Hrnčiarovce nad Parnou;2018-07-01;47;A;SK;2018;48,3409553;17,5656116;Slovensko;Trnavský kraj;okres Trnava
Hrnčiarska Ves;2019-06-22;40;D;SK;2019;48,4322417;19,858894;Slovensko;Banskobystrický kraj;okres Poltár
Hrnčiarske Zalužany;2019-06-22;40;D;SK;2019;48,4077395;19,8717252;Slovensko;Banskobystrický kraj;okres Poltár
Hrob;;1;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hrobce;;8;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hrobčice;;7;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hroboňovo (Dolný Štál);1994-01-01;47;D;SK;1994;47,93333;17,71667;Slovakia;Trnavský kraj;okres Dunajská Streda
Hroby;;19;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hrochoť;1994-01-01;39;D;SK;1994;48,655115;19,3122479;Slovensko;Banskobystrický kraj;okres Banská Bystrica
Hrochov;;22;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hrochův Týnec;;10;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hromnice;;17;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hromoš;1994-01-01;28;C;SK;1994;49,2557898;20,7943382;Slovensko;Prešovský kraj;okres Stará Ľubovňa
Hronec;1994-01-01;40;A;SK;1994;48,802333;19,5750026;Slovensko;Banskobystrický kraj;okres Brezno
Hronov (Náchod);2022-04-14;11;A;CZ;2022;#N/A;#N/A;#N/A;#N/A;#N/A
Hronovce;1994-01-01;49;A;SK;1994;48,0070279;18,6550432;Slovensko;Nitriansky kraj;okres Levice
Hronská Dúbrava;1994-01-01;39;D;SK;1994;48,5892871;19,0008409;Slovensko;Banskobystrický kraj;okres Žiar nad Hronom
Hronské Kľačany;1994-01-01;48;B;SK;1994;48,24065;18,5708075;Slovensko;Nitriansky kraj;okres Levice
Hronské Kosihy;1994-01-01;48;B;SK;1994;48,268807;18,5903341;Slovensko;Nitriansky kraj;okres Levice
Hronský Beňadik;1994-01-01;48;B;SK;1994;48,3456007;18,5592604;Slovensko;Banskobystrický kraj;okres Žarnovica
Hrotovice;;35;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hroznětín;;6;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hroznová Lhota;2023-04-23;37;A;CZ;2023;#N/A;#N/A;#N/A;#N/A;#N/A
Hrubá Skála;;9;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hrubá Voda;;23;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hrubá Vrbka;2023-04-23;37;A;CZ;2023;#N/A;#N/A;#N/A;#N/A;#N/A
Hrubčice;;22;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hruboňovo;2018-07-01;38;C;SK;2018;48,4481801;18,0249312;Slovensko;Nitriansky kraj;okres Nitra
Hrubov;;29;D;SK;1899;49,0925655;21,8622353;Slovensko;Prešovský kraj;okres Humenné
Hrubý Jeseník;;9;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hrubý Rohozec;;9;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hrubý Šúr;1994-01-01;47;A;SK;1994;48,1708524;17,4214147;Slovensko;Bratislavský kraj;okres Senec
Hrušky (Břeclav);;36;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hrušky (Vyškov);;36;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hrušov;2018-07-01;49;B;SK;2018;48,15387;19,09099;Slovensko;Banskobystrický kraj;okres Veľký Krtíš
Hrušová;2005-08-28;21;A;CZ;2005;#N/A;#N/A;#N/A;#N/A;#N/A
Hrušovany nad Jevišovkou;2004-05-23;35;B;CZ;2004;#N/A;#N/A;#N/A;#N/A;#N/A
Hrušovanz u Brna;1994-01-01;35;B;CZ;1994;#N/A;#N/A;#N/A;#N/A;#N/A
Hruštín;1994-01-01;25;D;SK;1994;49,324833;19,348506;Slovensko;Žilinský kraj;okres Námestovo
Hřebeč;;8;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hřebečníky;;7;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hředle (Beroun);;7;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hředle (Rakovník);;7;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hřensko;;2;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hřiměždice;;18;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hříškov;;7;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hřivice;;7;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hřivínův Újezd;2017-09-01;37;B;CZ;2017;#N/A;#N/A;#N/A;#N/A;#N/A
Hubošovce;2020-08-09;28;D;SK;2020;49,0964374;21,2055267;Slovensko;Prešovský kraj;okres Sabinov
Hubová;1994-01-01;39;B;SK;1994;49,1174449;19,1848084;Slovensko;Žilinský kraj;okres Ružomberok
Hucín;2018-07-01;41;C;SK;2018;48,5659974;20,2988974;Slovensko;Banskobystrický kraj;okres Revúca
Hudčice;;17;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hudlice;;8;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hul;1994-01-01;48;A;SK;1994;48,1;18,2666667;Slovensko;Nitriansky kraj;okres Nové Zámky
Hulice;;19;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hulín;2017-09-01;23;C;CZ;2017;#N/A;#N/A;#N/A;#N/A;#N/A
Humenné;2002-09-28;43;B;SK;2002;48,9350033;21,9020268;Slovensko;Prešovský kraj;okres Humenné
Humpolec;2018-10-29;20;A;CZ;2018;#N/A;#N/A;#N/A;#N/A;#N/A
Huncovce;1994-01-01;41;B;SK;1994;49,1158321;20,3778625;Slovensko;Prešovský kraj;okres Kežmarok
Huntířov;;2;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hurbanovo;1994-01-01;48;C;SK;1994;47,8761227;18,198313;Slovensko;Nitriansky kraj;okres Komárno
Hůrka;2024-03-30;32;A;CZ;2024;#N/A;#N/A;#N/A;#N/A;#N/A
Husiná;1994-01-01;50;B;SK;1994;48,341478;19,8786506;Slovensko;Banskobystrický kraj;okres Rimavská Sobota
Husinec;;31;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Huslenky;;24;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hustopeče;2001-06-16;36;A;CZ;2001;#N/A;#N/A;#N/A;#N/A;#N/A
Hustopeče nad Bečvou;1994-01-01;23;D;CZ;1994;#N/A;#N/A;#N/A;#N/A;#N/A
Huštěnovice;;37;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hutisko-Solanec;2018-07-01;24;C;CZ;2018;#N/A;#N/A;#N/A;#N/A;#N/A
Huzová;;22;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hvozd (Plzeň-sever);;7;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hvozd (Prostčjov);;22;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hvozdná;;23;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hvozdnica;1994-01-01;24;D;SK;1994;49,210788;18,487317;Slovensko;Žilinský kraj;okres Bytča
Hvozdnice;;18;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hvožďany;;17;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hybe;1994-01-01;40;B;SK;1994;49,0444964;19,8271486;Slovensko;Žilinský kraj;okres Liptovský Mikuláš
Hynčice;;13;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Hýskov;2018-07-01;8;C;CZ;2018;#N/A;#N/A;#N/A;#N/A;#N/A
Ihľany;2022-07-09;27;D;SK;2022;49,1853947;20,5378422;Slovensko;Prešovský kraj;okres Kežmarok
Ihráč;1996-02-10;39;C;SK;1996;48,6554981;18,9521373;Slovensko;Banskobystrický kraj;okres Žiar nad Hronom
Ilava;1994-01-01;38;A;SK;1994;48,9985674;18,2307598;Slovensko;Trenčiansky kraj;okres Ilava
Ilija;2018-07-01;39;C;SK;2018;48,4196363;18,9006218;Slovensko;Banskobystrický kraj;okres Banská Štiavnica
Imeľ;;48;C;SK;1899;47,902284;18,143292;Slovensko;Nitriansky kraj;okres Komárno
Iňačovce;;44;A;SK;1899;48,6972346;22,034189;Slovensko;Košický kraj;okres Michalovce
Ipeľské Predmostie;;49;B;SK;1899;48,0636504;19,0577109;Slovensko;Banskobystrický kraj;okres Veľký Krtíš
Ipeľské Úľany;;49;B;SK;1899;48,1266661;19,0481622;Slovensko;Nitriansky kraj;okres Levice
Ipeľský Potok;2019-06-22;40;D;SK;2019;48,5665618;19,6960493;Slovensko;Banskobystrický kraj;okres Poltár
Ipeľský Sokolec;1994-01-01;49;A;SK;1994;48,0178014;18,803362;Slovensko;Nitriansky kraj;okres Levice
Ivaň (Břeclav);;35;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Ivaň (Prostějov);;22;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Ivančice;;35;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Ivanka pri Dunaji;1994-01-01;46;B;SK;1994;48,1885931;17,2578039;Slovensko;Bratislavský kraj;okres Senec
Ivanka pri Nitre;1994-01-01;48;A;SK;1994;48,2390976;18,1173722;Slovensko;Nitriansky kraj;okres Nitra
Ivanovce;2018-07-01;37;B;SK;2018;48,83073;17,904115;Slovensko;Trenčiansky kraj;okres Trenčín
Ivonovice na Hané;;22;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Ivanovice u Brna;;21;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Iviny;;40;C;SK;1899;48,6144886;19,3902388;Slovensko;Banskobystrický kraj;okres Detva
Iža;1994-01-01;48;C;SK;1994;47,750348;18,2235858;Slovensko;Nitriansky kraj;okres Komárno
Jabkenice;;9;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jablonec nad Jizerou;;4;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jablonec nad Nisou;2009-05-08;3;B;CZ;2009;#N/A;#N/A;#N/A;#N/A;#N/A
Jablonica;1997-06-03;37;C;SK;1997;48,5587535;20,6100678;Slovensko;Košický kraj;okres Rožňava
Jablonka;2018-09-01;37;C;SK;2018;48,725124;17,6095594;Slovensko;Trenčiansky kraj;okres Myjava
Jablonná;;18;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jablonné nad Orlicí;;11;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jablonné v Podještědí;;3;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jablonov;;42;A;SK;1899;49,01655;20,72563;Slovakia;Prešovský kraj;okres Levoča
Jablonov nad Turnou;1994-01-01;42;C;SK;1994;48,5933946;20,672825;Slovensko;Košický kraj;okres Rožňava
Jabloňov;;21;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jabloňovce;1997-08-20;49;A;SK;1997;48,3166584;18,7873923;Slovensko;Nitriansky kraj;okres Levice
Jablonové (Bratislava-vidiek);1994-01-01;46;B;SK;1994;48,3482344;17,0976613;Slovensko;Bratislavský kraj;okres Malacky
Jablonové (Žilina);1994-01-01;24;D;SK;1994;49,18389;18,5645;Slovakia;Žilinský kraj;okres Bytča
Jablůnka;1994-01-01;23;D;CZ;1994;#N/A;#N/A;#N/A;#N/A;#N/A
Jablunkov;1994-01-01;25;A;CZ;1994;#N/A;#N/A;#N/A;#N/A;#N/A
Jackov;;34;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jacovce;2018-07-01;38;C;SK;2018;48,5918367;18,1360358;Slovensko;Nitriansky kraj;okres Topoľčany
Jahodná;2003-05-04;47;B;SK;2003;48,0514178;17,7039318;Slovensko;Trnavský kraj;okres Dunajská Streda
Jáchymov;;6;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jaklovce;1994-01-01;42;A;SK;1994;48,8723709;20,9894511;Slovensko;Košický kraj;okres Gelnica
Jakubany;2022-07-09;28;C;SK;2022;49,2460667;20,6953076;Slovensko;Prešovský kraj;okres Stará Ľubovňa
Jakubčovice;;23;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jakubčovice nad Odrou;;23;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jakubov;1995-04-29;36;C;SK;1995;48,4141277;16,9260091;Slovensko;Bratislavský kraj;okres Malacky
Jakubovany (Liptovský Mikuláš);1994-01-01;40;B;SK;1994;49,1027952;19,723432;Slovensko;Žilinský kraj;okres Liptovský Mikuláš
Jakubovany (Prešov);2020-08-09;28;D;SK;2020;49,10558;21,14102;Slovakia;Prešovský kraj;okres Sabinov
Jalná;1994-01-01;39;C;SK;1994;48,5861956;18,9539803;Slovensko;Banskobystrický kraj;okres Žiar nad Hronom
Jalšové;2018-07-01;37;D;SK;2018;48,5073617;17,8289142;Slovensko;Trnavský kraj;okres Hlohovec
Jalubí;;37;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jamartice;;12;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jamné;;20;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jamné nad Orlicí;;11;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jamník;1994-01-01;40;B;SK;1994;49,0716064;19,7100126;Slovensko;Žilinský kraj;okres Liptovský Mikuláš
Jámy;;21;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Janík;2021-05-22;42;C;SK;2021;48,5552765;20,9678079;Slovensko;Košický kraj;okres Košice - okolie
Jankov;;19;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jankovice;;37;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Janov (Bruntál);;13;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Janov (Most);;7;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Janov (Svitavy);1994-01-01;21;B;CZ;1994;#N/A;#N/A;#N/A;#N/A;#N/A
Janov nad Nisou;;3;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Janová;;24;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Janova Lehota;1997-09-06;39;C;SK;1997;48,6557756;18,783806;Slovensko;Banskobystrický kraj;okres Žiar nad Hronom
Janovce (Bardejov);;28;D;SK;1899;49,1905538;21,3042366;Slovensko;Prešovský kraj;okres Bardejov
Jánovce (Poprad);1994-01-01;41;B;SK;1994;49,0171366;20,432175;Slovensko;Prešovský kraj;okres Poprad
Janovice (Frýdek-Místek);;24;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Janovice (Chrudim);;10;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Janovice nad Úhlavou;1995-07-31;16;D;CZ;1995;#N/A;#N/A;#N/A;#N/A;#N/A
Janské Lázně;;10;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jarabá;1994-01-01;40;B;SK;1994;48,8929975;19,695058;Slovensko;Banskobystrický kraj;okres Brezno
Jarabina;1994-01-01;27;D;SK;1994;49,3382842;20,6560468;Slovensko;Prešovský kraj;okres Stará Ľubovňa
Jarohněvice;;23;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jarok;2019-11-06;47;B;SK;2019;48,2770437;17,9605085;Slovensko;Nitriansky kraj;okres Nitra
Jaroměř;2005-08-27;10;B;CZ;2005;#N/A;#N/A;#N/A;#N/A;#N/A
Jaroměřice;;22;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jaroměřice nad Rokytnou;;34;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jaroslav;2005-08-27;11;C;CZ;2005;#N/A;#N/A;#N/A;#N/A;#N/A
Jaroslavice;;35;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jarošov;;37;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jarošov nod Nežárkou;;19;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jarov;;17;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jarovce;1994-01-01;46;B;SK;1994;48,0652367;17,1129421;Slovensko;Bratislavský kraj;
Jarovnice;2020-08-10;42;B;SK;2020;49,0564388;21,061562;Slovensko;Prešovský kraj;okres Sabinov
Jasenica;2023-05-06;24;D;SK;2023;49,1794644;18,4503987;Slovensko;Trenčiansky kraj;okres Považská Bystrica
Jasenie;1994-01-01;40;A;SK;1994;48,8362472;19,4581779;Slovensko;Banskobystrický kraj;okres Brezno
Jasenná (Gottwaldov);;23;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jasenná (Náchod);;11;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jasenovce;2020-07-22;43;B;SK;2020;48,995714;21,7461853;Slovensko;Prešovský kraj;okres Vranov nad Topľou
Jasenovo;1994-01-01;39;A;SK;1994;48,8789444;18,7251818;Slovensko;Žilinský kraj;okres Turčianske Teplice
Jaslovské Bohunice;;37;C;SK;1899;48,4769283;17,6473684;Slovensko;Trnavský kraj;okres Trnava
Jasov;2021-05-22;42;C;SK;2021;48,6833197;20,9742126;Slovensko;Košický kraj;okres Košice - okolie
Jásová;1994-01-01;48;D;SK;1994;47,9861822;18,3992941;Slovensko;Nitriansky kraj;okres Nové Zámky
Jastrabá;1994-01-01;39;C;SK;1994;48,6341201;18,9332976;Slovensko;Banskobystrický kraj;okres Žiar nad Hronom
Jatov;1994-01-01;48;A;SK;1994;48,1284623;18,028264;Slovensko;Nitriansky kraj;okres Nové Zámky
Javorina;1994-01-01;27;C;SK;1994;49,2676281;20,1431909;Slovensko;Prešovský kraj;okres Poprad
Javorná;;6;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Javornice;;11;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Javorník (Hodonín);2023-04-22;37;A;CZ;2023;#N/A;#N/A;#N/A;#N/A;#N/A
Javorník (Šumperk);2022-04-15;12;B;CZ;2022;#N/A;#N/A;#N/A;#N/A;#N/A
Javorník (Ústí nad Orlicí);;21;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Javorový vrch (u Třince);;24;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Javoříčko;;22;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jazernica;1994-01-01;39;A;SK;1994;48,9265839;18,8306113;Slovensko;Žilinský kraj;okres Turčianske Teplice
Jedlí;;12;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jedlová;;21;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jedľové Kostoľany;2018-07-01;38;D;SK;2018;48,4705351;18,4962961;Slovensko;Nitriansky kraj;okres Zlaté Moravce
Jedovnice;2001-06-16;22;C;CZ;2001;#N/A;#N/A;#N/A;#N/A;#N/A
Jehličná;;6;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jehnědí;;11;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jehnice;;21;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jelenec;2018-07-01;48;A;SK;2018;48,3796711;18,2224084;Slovensko;Nitriansky kraj;okres Nitra
Jelka;1996-05-05;47;A;SK;1996;48,145206;17,5068773;Slovensko;Trnavský kraj;okres Galanta
Jelšava;1994-01-01;41;C;SK;1994;48,627484;20,2410264;Slovensko;Banskobystrický kraj;okres Revúca
Jelšovce;;38;C;SK;1899;48,3833406;18,0582047;Slovensko;Nitriansky kraj;okres Nitra
Jelšovec;;50;A;SK;1899;48,2820958;19,6009522;Slovensko;Banskobystrický kraj;okres Lučenec
Jemčina;;33;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jemnice;;34;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jemniště;;19;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jeneč;;8;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jeníčkova Lhota;;19;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jeníkov;;7;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jeníkovice;;11;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jenišov;;6;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jenišovice;;9;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jenišův Újezd;;7;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jenkovce;;44;C;SK;1899;48,6548104;22,2102793;Slovensko;Košický kraj;okres Sobrance
Jeřice;;10;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jeřmanice;;3;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jesenice (Cheb);;5;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jesenice (Praha-západ);;8;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jesenice (Rakovník);;7;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jeseník;2022-04-15;12;D;CZ;2022;#N/A;#N/A;#N/A;#N/A;#N/A
Jeseník nad Odrou;1994-01-01;23;B;CZ;1994;#N/A;#N/A;#N/A;#N/A;#N/A
Jesenný;;10;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jesenské;2020-05-02;51;A;SK;2020;48,3041179;20,0733271;Slovensko;Banskobystrický kraj;okres Rimavská Sobota
Jestřabí Lhota;;9;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jestřabice;;36;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jestřebí;1997-05-30;9;A;CZ;1997;#N/A;#N/A;#N/A;#N/A;#N/A
Ješkova Ves;2018-07-01;38;C;SK;2018;48,549417;18,3487575;Slovensko;Trenčiansky kraj;okres Partizánske
Ještětice;2022-04-14;11;C;CZ;2022;#N/A;#N/A;#N/A;#N/A;#N/A
Jetětice;;18;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jetřichovice (Benešov);;18;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jetřichovice (Děčín);;2;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jevany;;9;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jevíčko;;22;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jevišovice;2023-05-01;34;B;CZ;2023;#N/A;#N/A;#N/A;#N/A;#N/A
Jevišovka;;35;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jezdovice;;20;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jezernice;;23;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jezeřany-Maršovice;;35;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Ježník;;13;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Ježov;;36;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jickovice;;18;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jičín;;10;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jičíněves;;10;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jihlava;;20;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jíkev;;9;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jilemnice;;10;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jílové (Děčín);;2;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jílové (Jablonec nad Nisou);;9;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jílové u Prahy;1994-01-01;8;D;CZ;1994;#N/A;#N/A;#N/A;#N/A;#N/A
Jílovice (České Budějovice);;33;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jílovice (Rychnov nad Kněžnou);;11;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jíloviště;;8;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jimlín;;7;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jimramov;;21;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jinačovice;;21;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jince;;18;A;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jindice;;9;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jindřichov (Bruntál);;13;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Jindřichov (Přerov);;23;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
