Place;Date;Page;Sector;Country Code;Year;Latitude;Longitude;Country;Region;Region District
Bánovce nad Bebravou;1998-08-01;38;C;SK;1998;48,7216671;18,2598263;Slovensko;Trenčiansky kraj;okres Bánovce nad Bebravou
Bánovce nad Ondavou;;43;B;SK;1899;48,6820122;21,8143807;Slovensko;Košický kraj;okres Michalovce
Banská Belá;1994-01-01;39;C;SK;1994;48,4750134;18,9343398;Slovensko;Banskobystrický kraj;okres Banská Štiavnica
Banská Bystrica;1994-01-01;39;D;SK;1994;48,7383895;19,1585805;Slovensko;Banskobystrický kraj;okres Banská Bystrica
Banská Hodruša;2018-07-01;39;C;SK;2018;48,4662496;18,8187939;Slovensko;Banskobystrický kraj;okres Žarnovica
Banská Štiavnica;1994-01-01;39;C;SK;1994;48,4580926;18,8988414;Slovensko;Banskobystrický kraj;okres Banská Štiavnica
Banské;;43;A;SK;1899;48,8285889;21,5725639;Slovensko;Prešovský kraj;okres Vranov nad Topľou
Banský Studenec;2018-07-01;39;D;SK;2018;48,4472104;18,9709794;Slovensko;Banskobystrický kraj;okres Banská Štiavnica
Barca;;42;D;SK;1899;48,3731989;20,2300428;Slovensko;Banskobystrický kraj;okres Rimavská Sobota
Bardejov;1994-01-01;28;D;SK;1994;49,2926871;21,2756031;Slovensko;Prešovský kraj;okres Bardejov
Bardejovská Nová Ves;2020-06-20;28;D;SK;2020;49,3031143;21,3177277;Slovensko;Prešovský kraj;okres Bardejov
Bardejovské Kúpele;1994-01-01;28;D;SK;1994;49,3273239;21,2739014;Slovensko;Prešovský kraj;okres Bardejov
Bardoňovo;1994-01-01;48;B;SK;1994;48,110839;18,4209045;Slovensko;Nitriansky kraj;okres Nové Zámky
Bartošova Lehôtka;1994-01-01;39;C;SK;1994;48,653705;18,9107646;Slovensko;Banskobystrický kraj;okres Žiar nad Hronom
Bartošovce;2020-06-20;28;D;SK;2020;49,1960586;21,2761945;Slovensko;Prešovský kraj;okres Bardejov
Bartošovice;2003-10-05;24;A;CZ;2003;#N/A;#N/A;#N/A;#N/A;#N/A
Bartošovice v Orlických Horách;;11;D;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Bartovice;1994-01-01;24;B;CZ;1994;#N/A;#N/A;#N/A;#N/A;#N/A
Bařice;;23;C;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Baška;;24;B;CZ;1899;#N/A;#N/A;#N/A;#N/A;#N/A
Baškovce;;43;B;SK;1899;49,0337435;21,8383492;Slovensko;Prešovský kraj;okres Humenné
